Time (DD.MM.YYYY HH:MM:SS);name;CPU usage [%];vCPU [units]
04.01.2024 01:00:00;SRVDB1797;9.20;16.00
04.01.2024 02:00:00;SRVDB1797;9.02;16.00
04.01.2024 03:00:00;SRVDB1797;8.98;16.00
04.01.2024 04:00:00;SRVDB1797;8.87;16.00
04.01.2024 05:00:00;SRVDB1797;9.46;16.00
04.01.2024 06:00:00;SRVDB1797;9.44;16.00
04.01.2024 07:00:00;SRVDB1797;9.54;16.00
04.01.2024 08:00:00;SRVDB1797;9.58;16.00
04.01.2024 09:00:00;SRVDB1797;9.85;16.00
04.01.2024 10:00:00;SRVDB1797;10.71;16.00
04.01.2024 11:00:00;SRVDB1797;10.75;16.00
04.01.2024 12:00:00;SRVDB1797;11.13;16.00
04.01.2024 13:00:00;SRVDB1797;10.97;16.00
04.01.2024 14:00:00;SRVDB1797;11.54;16.00
04.01.2024 15:00:00;SRVDB1797;12.28;16.00
04.01.2024 16:00:00;SRVDB1797;11.55;16.00
04.01.2024 17:00:00;SRVDB1797;11.66;16.00
04.01.2024 18:00:00;SRVDB1797;12.02;16.00
04.01.2024 19:00:00;SRVDB1797;12.05;16.00
04.01.2024 20:00:00;SRVDB1797;11.84;16.00
04.01.2024 21:00:00;SRVDB1797;11.64;16.00
04.01.2024 22:00:00;SRVDB1797;14.43;16.00
04.01.2024 23:00:00;SRVDB1797;11.96;16.00
05.01.2024 00:00:00;SRVDB1797;11.09;16.00
05.01.2024 01:00:00;SRVDB1797;10.84;16.00
05.01.2024 02:00:00;SRVDB1797;10.68;16.00
05.01.2024 03:00:00;SRVDB1797;10.59;16.00
05.01.2024 04:00:00;SRVDB1797;10.53;16.00
05.01.2024 05:00:00;SRVDB1797;10.65;16.00
05.01.2024 06:00:00;SRVDB1797;10.83;16.00
05.01.2024 07:00:00;SRVDB1797;10.93;16.00
05.01.2024 08:00:00;SRVDB1797;10.89;16.00
05.01.2024 09:00:00;SRVDB1797;11.14;16.00
05.01.2024 10:00:00;SRVDB1797;11.82;16.00
05.01.2024 11:00:00;SRVDB1797;11.79;16.00
05.01.2024 12:00:00;SRVDB1797;11.96;16.00
05.01.2024 13:00:00;SRVDB1797;11.69;16.00
05.01.2024 14:00:00;SRVDB1797;11.25;16.00
05.01.2024 15:00:00;SRVDB1797;12.99;16.00
05.01.2024 16:00:00;SRVDB1797;11.61;16.00
05.01.2024 17:00:00;SRVDB1797;11.01;16.00
05.01.2024 18:00:00;SRVDB1797;10.91;16.00
05.01.2024 19:00:00;SRVDB1797;10.72;16.00
05.01.2024 20:00:00;SRVDB1797;10.50;16.00
05.01.2024 21:00:00;SRVDB1797;10.32;16.00
05.01.2024 22:00:00;SRVDB1797;13.33;16.00
05.01.2024 23:00:00;SRVDB1797;10.60;16.00
06.01.2024 00:00:00;SRVDB1797;10.27;16.00
06.01.2024 01:00:00;SRVDB1797;10.70;16.00
06.01.2024 02:00:00;SRVDB1797;9.75;16.00
06.01.2024 03:00:00;SRVDB1797;9.41;16.00
06.01.2024 04:00:00;SRVDB1797;9.31;16.00
06.01.2024 05:00:00;SRVDB1797;9.57;16.00
06.01.2024 06:00:00;SRVDB1797;10.91;16.00
06.01.2024 07:00:00;SRVDB1797;9.94;16.00
06.01.2024 08:00:00;SRVDB1797;9.82;16.00
06.01.2024 09:00:00;SRVDB1797;10.86;16.00
06.01.2024 10:00:00;SRVDB1797;11.31;16.00
06.01.2024 11:00:00;SRVDB1797;12.00;16.00
06.01.2024 12:00:00;SRVDB1797;11.79;16.00
06.01.2024 13:00:00;SRVDB1797;12.08;16.00
06.01.2024 14:00:00;SRVDB1797;11.73;16.00
06.01.2024 15:00:00;SRVDB1797;12.12;16.00
06.01.2024 16:00:00;SRVDB1797;12.33;16.00
06.01.2024 17:00:00;SRVDB1797;11.11;16.00
06.01.2024 18:00:00;SRVDB1797;11.51;16.00
06.01.2024 19:00:00;SRVDB1797;11.44;16.00
06.01.2024 20:00:00;SRVDB1797;10.90;16.00
06.01.2024 21:00:00;SRVDB1797;10.60;16.00
06.01.2024 22:00:00;SRVDB1797;14.48;16.00
06.01.2024 23:00:00;SRVDB1797;10.38;16.00
07.01.2024 00:00:00;SRVDB1797;9.84;16.00
07.01.2024 01:00:00;SRVDB1797;9.67;16.00
07.01.2024 02:00:00;SRVDB1797;9.43;16.00
07.01.2024 03:00:00;SRVDB1797;9.28;16.00
07.01.2024 04:00:00;SRVDB1797;9.24;16.00
07.01.2024 05:00:00;SRVDB1797;8.99;16.00
07.01.2024 06:00:00;SRVDB1797;8.68;16.00
07.01.2024 07:00:00;SRVDB1797;9.61;16.00
07.01.2024 08:00:00;SRVDB1797;11.20;16.00
07.01.2024 09:00:00;SRVDB1797;9.34;16.00
07.01.2024 10:00:00;SRVDB1797;10.37;16.00
07.01.2024 11:00:00;SRVDB1797;10.20;16.00
07.01.2024 12:00:00;SRVDB1797;10.55;16.00
07.01.2024 13:00:00;SRVDB1797;11.04;16.00
07.01.2024 14:00:00;SRVDB1797;11.10;16.00
07.01.2024 15:00:00;SRVDB1797;11.18;16.00
07.01.2024 16:00:00;SRVDB1797;11.26;16.00
07.01.2024 17:00:00;SRVDB1797;11.60;16.00
07.01.2024 18:00:00;SRVDB1797;11.21;16.00
07.01.2024 19:00:00;SRVDB1797;10.88;16.00
07.01.2024 20:00:00;SRVDB1797;10.84;16.00
07.01.2024 21:00:00;SRVDB1797;10.55;16.00
07.01.2024 22:00:00;SRVDB1797;27.01;16.00
07.01.2024 23:00:00;SRVDB1797;32.22;16.00
08.01.2024 00:00:00;SRVDB1797;31.56;16.00
08.01.2024 01:00:00;SRVDB1797;23.93;16.00
08.01.2024 02:00:00;SRVDB1797;9.47;16.00
08.01.2024 03:00:00;SRVDB1797;9.19;16.00
08.01.2024 04:00:00;SRVDB1797;9.13;16.00
08.01.2024 05:00:00;SRVDB1797;9.22;16.00
08.01.2024 06:00:00;SRVDB1797;9.23;16.00
08.01.2024 07:00:00;SRVDB1797;8.69;16.00
08.01.2024 08:00:00;SRVDB1797;8.66;16.00
08.01.2024 09:00:00;SRVDB1797;9.38;16.00
08.01.2024 10:00:00;SRVDB1797;11.56;16.00
08.01.2024 11:00:00;SRVDB1797;11.12;16.00
08.01.2024 12:00:00;SRVDB1797;11.38;16.00
08.01.2024 13:00:00;SRVDB1797;10.68;16.00
08.01.2024 14:00:00;SRVDB1797;11.38;16.00
08.01.2024 15:00:00;SRVDB1797;11.03;16.00
08.01.2024 16:00:00;SRVDB1797;10.84;16.00
08.01.2024 17:00:00;SRVDB1797;13.01;16.00
08.01.2024 18:00:00;SRVDB1797;11.16;16.00
08.01.2024 19:00:00;SRVDB1797;11.00;16.00
08.01.2024 20:00:00;SRVDB1797;11.13;16.00
08.01.2024 21:00:00;SRVDB1797;10.71;16.00
08.01.2024 22:00:00;SRVDB1797;13.44;16.00
08.01.2024 23:00:00;SRVDB1797;9.96;16.00
09.01.2024 00:00:00;SRVDB1797;9.60;16.00
09.01.2024 01:00:00;SRVDB1797;9.63;16.00
09.01.2024 02:00:00;SRVDB1797;9.18;16.00
09.01.2024 03:00:00;SRVDB1797;8.95;16.00
09.01.2024 04:00:00;SRVDB1797;8.96;16.00
09.01.2024 05:00:00;SRVDB1797;13.06;16.00
09.01.2024 06:00:00;SRVDB1797;16.30;16.00
09.01.2024 07:00:00;SRVDB1797;10.62;16.00
09.01.2024 08:00:00;SRVDB1797;10.55;16.00
09.01.2024 09:00:00;SRVDB1797;11.52;16.00
09.01.2024 10:00:00;SRVDB1797;13.46;16.00
09.01.2024 11:00:00;SRVDB1797;18.48;16.00
09.01.2024 12:00:00;SRVDB1797;19.83;16.00
09.01.2024 13:00:00;SRVDB1797;17.67;16.00
09.01.2024 14:00:00;SRVDB1797;14.11;16.00
09.01.2024 15:00:00;SRVDB1797;14.60;16.00
09.01.2024 16:00:00;SRVDB1797;14.44;16.00
09.01.2024 17:00:00;SRVDB1797;13.70;16.00
09.01.2024 18:00:00;SRVDB1797;14.46;16.00
09.01.2024 19:00:00;SRVDB1797;17.99;16.00
09.01.2024 20:00:00;SRVDB1797;16.38;16.00
09.01.2024 21:00:00;SRVDB1797;11.90;16.00
09.01.2024 22:00:00;SRVDB1797;15.55;16.00
09.01.2024 23:00:00;SRVDB1797;11.41;16.00
10.01.2024 00:00:00;SRVDB1797;10.82;16.00
10.01.2024 01:00:00;SRVDB1797;10.30;16.00
10.01.2024 02:00:00;SRVDB1797;11.77;16.00
10.01.2024 03:00:00;SRVDB1797;9.75;16.00
10.01.2024 04:00:00;SRVDB1797;;16.00
10.01.2024 05:00:00;SRVDB1797;8.74;16.00
10.01.2024 06:00:00;SRVDB1797;8.43;16.00
10.01.2024 07:00:00;SRVDB1797;9.13;16.00
10.01.2024 08:00:00;SRVDB1797;9.11;16.00
10.01.2024 09:00:00;SRVDB1797;10.13;16.00
10.01.2024 10:00:00;SRVDB1797;11.55;16.00
10.01.2024 11:00:00;SRVDB1797;11.26;16.00
10.01.2024 12:00:00;SRVDB1797;12.63;16.00
10.01.2024 13:00:00;SRVDB1797;11.64;16.00
10.01.2024 14:00:00;SRVDB1797;12.44;16.00
10.01.2024 15:00:00;SRVDB1797;13.74;16.00
10.01.2024 16:00:00;SRVDB1797;13.64;16.00
10.01.2024 17:00:00;SRVDB1797;12.27;16.00
10.01.2024 18:00:00;SRVDB1797;16.55;16.00
10.01.2024 19:00:00;SRVDB1797;12.88;16.00
10.01.2024 20:00:00;SRVDB1797;11.01;16.00
10.01.2024 21:00:00;SRVDB1797;10.48;16.00
10.01.2024 22:00:00;SRVDB1797;13.79;16.00
10.01.2024 23:00:00;SRVDB1797;9.74;16.00
11.01.2024 00:00:00;SRVDB1797;8.71;16.00
11.01.2024 01:00:00;SRVDB1797;8.26;16.00
11.01.2024 02:00:00;SRVDB1797;8.12;16.00
11.01.2024 03:00:00;SRVDB1797;7.98;16.00
11.01.2024 04:00:00;SRVDB1797;8.03;16.00
11.01.2024 05:00:00;SRVDB1797;8.09;16.00
11.01.2024 06:00:00;SRVDB1797;7.93;16.00
11.01.2024 07:00:00;SRVDB1797;8.75;16.00
11.01.2024 08:00:00;SRVDB1797;8.66;16.00
11.01.2024 09:00:00;SRVDB1797;9.17;16.00
11.01.2024 10:00:00;SRVDB1797;12.95;16.00
11.01.2024 11:00:00;SRVDB1797;10.78;16.00
11.01.2024 12:00:00;SRVDB1797;11.32;16.00
11.01.2024 13:00:00;SRVDB1797;12.05;16.00
11.01.2024 14:00:00;SRVDB1797;12.38;16.00
11.01.2024 15:00:00;SRVDB1797;10.92;16.00
11.01.2024 16:00:00;SRVDB1797;11.11;16.00
11.01.2024 17:00:00;SRVDB1797;13.24;16.00
11.01.2024 18:00:00;SRVDB1797;11.00;16.00
11.01.2024 19:00:00;SRVDB1797;10.76;16.00
11.01.2024 20:00:00;SRVDB1797;10.35;16.00
11.01.2024 21:00:00;SRVDB1797;10.46;16.00
11.01.2024 22:00:00;SRVDB1797;13.62;16.00
11.01.2024 23:00:00;SRVDB1797;8.91;16.00
12.01.2024 00:00:00;SRVDB1797;9.16;16.00
12.01.2024 01:00:00;SRVDB1797;8.41;16.00
12.01.2024 02:00:00;SRVDB1797;8.08;16.00
12.01.2024 03:00:00;SRVDB1797;8.00;16.00
12.01.2024 04:00:00;SRVDB1797;7.98;16.00
12.01.2024 05:00:00;SRVDB1797;8.47;16.00
12.01.2024 06:00:00;SRVDB1797;8.54;16.00
12.01.2024 07:00:00;SRVDB1797;9.16;16.00
12.01.2024 08:00:00;SRVDB1797;9.13;16.00
12.01.2024 09:00:00;SRVDB1797;10.15;16.00
12.01.2024 10:00:00;SRVDB1797;12.41;16.00
12.01.2024 11:00:00;SRVDB1797;11.34;16.00
12.01.2024 12:00:00;SRVDB1797;14.75;16.00
12.01.2024 13:00:00;SRVDB1797;13.64;16.00
12.01.2024 14:00:00;SRVDB1797;11.58;16.00
12.01.2024 15:00:00;SRVDB1797;12.04;16.00
12.01.2024 16:00:00;SRVDB1797;12.48;16.00
12.01.2024 17:00:00;SRVDB1797;12.98;16.00
12.01.2024 18:00:00;SRVDB1797;11.55;16.00
12.01.2024 19:00:00;SRVDB1797;11.17;16.00
12.01.2024 20:00:00;SRVDB1797;11.35;16.00
12.01.2024 21:00:00;SRVDB1797;10.23;16.00
12.01.2024 22:00:00;SRVDB1797;12.58;16.00
12.01.2024 23:00:00;SRVDB1797;9.18;16.00
13.01.2024 00:00:00;SRVDB1797;8.26;16.00
13.01.2024 01:00:00;SRVDB1797;7.89;16.00
13.01.2024 02:00:00;SRVDB1797;7.58;16.00
13.01.2024 03:00:00;SRVDB1797;7.36;16.00
13.01.2024 04:00:00;SRVDB1797;7.69;16.00
13.01.2024 05:00:00;SRVDB1797;7.56;16.00
13.01.2024 06:00:00;SRVDB1797;6.74;16.00
13.01.2024 07:00:00;SRVDB1797;7.49;16.00
13.01.2024 08:00:00;SRVDB1797;7.22;16.00
13.01.2024 09:00:00;SRVDB1797;8.64;16.00
13.01.2024 10:00:00;SRVDB1797;10.32;16.00
13.01.2024 11:00:00;SRVDB1797;9.52;16.00
13.01.2024 12:00:00;SRVDB1797;10.18;16.00
13.01.2024 13:00:00;SRVDB1797;10.16;16.00
13.01.2024 14:00:00;SRVDB1797;10.18;16.00
13.01.2024 15:00:00;SRVDB1797;9.59;16.00
13.01.2024 16:00:00;SRVDB1797;9.99;16.00
13.01.2024 17:00:00;SRVDB1797;9.47;16.00
13.01.2024 18:00:00;SRVDB1797;9.21;16.00
13.01.2024 19:00:00;SRVDB1797;10.19;16.00
13.01.2024 20:00:00;SRVDB1797;9.22;16.00
13.01.2024 21:00:00;SRVDB1797;8.86;16.00
13.01.2024 22:00:00;SRVDB1797;12.13;16.00
13.01.2024 23:00:00;SRVDB1797;8.15;16.00
14.01.2024 00:00:00;SRVDB1797;9.60;16.00
14.01.2024 01:00:00;SRVDB1797;8.66;16.00
14.01.2024 02:00:00;SRVDB1797;7.25;16.00
14.01.2024 03:00:00;SRVDB1797;7.29;16.00
14.01.2024 04:00:00;SRVDB1797;7.75;16.00
14.01.2024 05:00:00;SRVDB1797;7.50;16.00
14.01.2024 06:00:00;SRVDB1797;7.19;16.00
14.01.2024 07:00:00;SRVDB1797;7.40;16.00
14.01.2024 08:00:00;SRVDB1797;10.75;16.00
14.01.2024 09:00:00;SRVDB1797;7.76;16.00
14.01.2024 10:00:00;SRVDB1797;8.43;16.00
14.01.2024 11:00:00;SRVDB1797;8.33;16.00
14.01.2024 12:00:00;SRVDB1797;8.75;16.00
14.01.2024 13:00:00;SRVDB1797;8.75;16.00
14.01.2024 14:00:00;SRVDB1797;9.40;16.00
14.01.2024 15:00:00;SRVDB1797;8.76;16.00
14.01.2024 16:00:00;SRVDB1797;9.01;16.00
14.01.2024 17:00:00;SRVDB1797;9.18;16.00
14.01.2024 18:00:00;SRVDB1797;9.29;16.00
14.01.2024 19:00:00;SRVDB1797;8.69;16.00
14.01.2024 20:00:00;SRVDB1797;8.62;16.00
14.01.2024 21:00:00;SRVDB1797;8.55;16.00
14.01.2024 22:00:00;SRVDB1797;25.65;16.00
14.01.2024 23:00:00;SRVDB1797;31.43;16.00
15.01.2024 00:00:00;SRVDB1797;29.81;16.00
15.01.2024 01:00:00;SRVDB1797;10.03;16.00
15.01.2024 02:00:00;SRVDB1797;6.39;16.00
15.01.2024 03:00:00;SRVDB1797;6.76;16.00
15.01.2024 04:00:00;SRVDB1797;6.79;16.00
15.01.2024 05:00:00;SRVDB1797;8.20;16.00
15.01.2024 06:00:00;SRVDB1797;7.19;16.00
15.01.2024 07:00:00;SRVDB1797;8.37;16.00
15.01.2024 08:00:00;SRVDB1797;8.29;16.00
15.01.2024 09:00:00;SRVDB1797;8.61;16.00
15.01.2024 10:00:00;SRVDB1797;10.53;16.00
15.01.2024 11:00:00;SRVDB1797;11.04;16.00
15.01.2024 12:00:00;SRVDB1797;12.43;16.00
15.01.2024 13:00:00;SRVDB1797;12.51;16.00
15.01.2024 14:00:00;SRVDB1797;14.23;16.00
15.01.2024 15:00:00;SRVDB1797;13.47;16.00
15.01.2024 16:00:00;SRVDB1797;10.55;16.00
15.01.2024 17:00:00;SRVDB1797;10.68;16.00
15.01.2024 18:00:00;SRVDB1797;10.77;16.00
15.01.2024 19:00:00;SRVDB1797;10.19;16.00
15.01.2024 20:00:00;SRVDB1797;10.67;16.00
15.01.2024 21:00:00;SRVDB1797;9.90;16.00
15.01.2024 22:00:00;SRVDB1797;12.95;16.00
15.01.2024 23:00:00;SRVDB1797;8.69;16.00
16.01.2024 00:00:00;SRVDB1797;7.32;16.00
16.01.2024 01:00:00;SRVDB1797;6.49;16.00
16.01.2024 02:00:00;SRVDB1797;6.23;16.00
16.01.2024 03:00:00;SRVDB1797;6.09;16.00
16.01.2024 04:00:00;SRVDB1797;6.50;16.00
16.01.2024 05:00:00;SRVDB1797;7.02;16.00
16.01.2024 06:00:00;SRVDB1797;7.13;16.00
16.01.2024 07:00:00;SRVDB1797;7.61;16.00
16.01.2024 08:00:00;SRVDB1797;7.32;16.00
16.01.2024 09:00:00;SRVDB1797;8.69;16.00
16.01.2024 10:00:00;SRVDB1797;10.05;16.00
16.01.2024 11:00:00;SRVDB1797;9.34;16.00
16.01.2024 12:00:00;SRVDB1797;10.81;16.00
16.01.2024 13:00:00;SRVDB1797;10.59;16.00
16.01.2024 14:00:00;SRVDB1797;10.19;16.00
16.01.2024 15:00:00;SRVDB1797;12.07;16.00
16.01.2024 16:00:00;SRVDB1797;10.06;16.00
16.01.2024 17:00:00;SRVDB1797;9.74;16.00
16.01.2024 18:00:00;SRVDB1797;10.46;16.00
16.01.2024 19:00:00;SRVDB1797;9.42;16.00
16.01.2024 20:00:00;SRVDB1797;9.25;16.00
16.01.2024 21:00:00;SRVDB1797;9.17;16.00
16.01.2024 22:00:00;SRVDB1797;11.19;16.00
16.01.2024 23:00:00;SRVDB1797;7.42;16.00
17.01.2024 00:00:00;SRVDB1797;7.13;16.00
17.01.2024 01:00:00;SRVDB1797;6.48;16.00
17.01.2024 02:00:00;SRVDB1797;6.43;16.00
17.01.2024 03:00:00;SRVDB1797;6.79;16.00
17.01.2024 04:00:00;SRVDB1797;6.68;16.00
17.01.2024 05:00:00;SRVDB1797;6.35;16.00
17.01.2024 06:00:00;SRVDB1797;6.06;16.00
17.01.2024 07:00:00;SRVDB1797;8.63;16.00
17.01.2024 08:00:00;SRVDB1797;6.84;16.00
17.01.2024 09:00:00;SRVDB1797;7.75;16.00
17.01.2024 10:00:00;SRVDB1797;10.51;16.00
17.01.2024 11:00:00;SRVDB1797;7.06;16.00
17.01.2024 12:00:00;SRVDB1797;6.90;16.00
17.01.2024 13:00:00;SRVDB1797;6.43;16.00
17.01.2024 14:00:00;SRVDB1797;6.46;16.00
17.01.2024 15:00:00;SRVDB1797;5.43;16.00
17.01.2024 16:00:00;SRVDB1797;5.40;16.00
17.01.2024 17:00:00;SRVDB1797;7.09;16.00
17.01.2024 18:00:00;SRVDB1797;5.88;16.00
17.01.2024 19:00:00;SRVDB1797;4.93;16.00
17.01.2024 20:00:00;SRVDB1797;6.27;16.00
17.01.2024 21:00:00;SRVDB1797;4.94;16.00
17.01.2024 22:00:00;SRVDB1797;9.46;16.00
17.01.2024 23:00:00;SRVDB1797;3.33;16.00
18.01.2024 00:00:00;SRVDB1797;2.99;16.00
18.01.2024 01:00:00;SRVDB1797;2.18;16.00
18.01.2024 02:00:00;SRVDB1797;1.96;16.00
18.01.2024 03:00:00;SRVDB1797;1.78;16.00
18.01.2024 04:00:00;SRVDB1797;2.00;16.00
18.01.2024 05:00:00;SRVDB1797;2.11;16.00
18.01.2024 06:00:00;SRVDB1797;2.25;16.00
18.01.2024 07:00:00;SRVDB1797;2.76;16.00
18.01.2024 08:00:00;SRVDB1797;3.34;16.00
18.01.2024 09:00:00;SRVDB1797;3.77;16.00
18.01.2024 10:00:00;SRVDB1797;6.14;16.00
18.01.2024 11:00:00;SRVDB1797;5.60;16.00
18.01.2024 12:00:00;SRVDB1797;5.17;16.00
18.01.2024 13:00:00;SRVDB1797;5.80;16.00
18.01.2024 14:00:00;SRVDB1797;7.06;16.00
18.01.2024 15:00:00;SRVDB1797;5.25;16.00
18.01.2024 16:00:00;SRVDB1797;5.29;16.00
18.01.2024 17:00:00;SRVDB1797;5.59;16.00
18.01.2024 18:00:00;SRVDB1797;5.29;16.00
18.01.2024 19:00:00;SRVDB1797;4.99;16.00
18.01.2024 20:00:00;SRVDB1797;4.07;16.00
18.01.2024 21:00:00;SRVDB1797;4.19;16.00
18.01.2024 22:00:00;SRVDB1797;7.59;16.00
18.01.2024 23:00:00;SRVDB1797;3.39;16.00
19.01.2024 00:00:00;SRVDB1797;2.65;16.00
19.01.2024 01:00:00;SRVDB1797;2.15;16.00
19.01.2024 02:00:00;SRVDB1797;1.95;16.00
19.01.2024 03:00:00;SRVDB1797;1.78;16.00
19.01.2024 04:00:00;SRVDB1797;1.85;16.00
19.01.2024 05:00:00;SRVDB1797;2.04;16.00
19.01.2024 06:00:00;SRVDB1797;2.13;16.00
19.01.2024 07:00:00;SRVDB1797;2.75;16.00
19.01.2024 08:00:00;SRVDB1797;3.39;16.00
19.01.2024 09:00:00;SRVDB1797;4.01;16.00
19.01.2024 10:00:00;SRVDB1797;6.06;16.00
19.01.2024 11:00:00;SRVDB1797;5.17;16.00
19.01.2024 12:00:00;SRVDB1797;7.02;16.00
19.01.2024 13:00:00;SRVDB1797;6.78;16.00
19.01.2024 14:00:00;SRVDB1797;6.20;16.00
19.01.2024 15:00:00;SRVDB1797;5.79;16.00
19.01.2024 16:00:00;SRVDB1797;7.09;16.00
19.01.2024 17:00:00;SRVDB1797;6.41;16.00
19.01.2024 18:00:00;SRVDB1797;5.98;16.00
19.01.2024 19:00:00;SRVDB1797;7.01;16.00
19.01.2024 20:00:00;SRVDB1797;5.78;16.00
19.01.2024 21:00:00;SRVDB1797;4.75;16.00
19.01.2024 22:00:00;SRVDB1797;7.35;16.00
19.01.2024 23:00:00;SRVDB1797;4.20;16.00
20.01.2024 00:00:00;SRVDB1797;3.00;16.00
20.01.2024 01:00:00;SRVDB1797;2.42;16.00
20.01.2024 02:00:00;SRVDB1797;2.30;16.00
20.01.2024 03:00:00;SRVDB1797;1.94;16.00
20.01.2024 04:00:00;SRVDB1797;1.95;16.00
20.01.2024 05:00:00;SRVDB1797;2.07;16.00
20.01.2024 06:00:00;SRVDB1797;1.81;16.00
20.01.2024 07:00:00;SRVDB1797;2.46;16.00
20.01.2024 08:00:00;SRVDB1797;2.63;16.00
20.01.2024 09:00:00;SRVDB1797;3.35;16.00
20.01.2024 10:00:00;SRVDB1797;4.58;16.00
20.01.2024 11:00:00;SRVDB1797;5.88;16.00
20.01.2024 12:00:00;SRVDB1797;4.95;16.00
20.01.2024 13:00:00;SRVDB1797;5.03;16.00
20.01.2024 14:00:00;SRVDB1797;6.25;16.00
20.01.2024 15:00:00;SRVDB1797;5.62;16.00
20.01.2024 16:00:00;SRVDB1797;5.07;16.00
20.01.2024 17:00:00;SRVDB1797;4.71;16.00
20.01.2024 18:00:00;SRVDB1797;4.65;16.00
20.01.2024 19:00:00;SRVDB1797;4.25;16.00
20.01.2024 20:00:00;SRVDB1797;4.57;16.00
20.01.2024 21:00:00;SRVDB1797;4.12;16.00
20.01.2024 22:00:00;SRVDB1797;6.16;16.00
20.01.2024 23:00:00;SRVDB1797;1.58;16.00
21.01.2024 00:00:00;SRVDB1797;1.02;16.00
